x,fy
991769,11861359.77
2003945,10951965.4
2752424,10604621.42
3027746,10496738.79
3610976,10303517.65
4406959,10117206.74
4958291,10040505.32
5068346,10030322.24
5648616,10004843.49
6043135,10014599.63
6656580,10073293.53
6941899,10118637.94
7030209,10134994.03
7489062,10237640.11
7916397,10359869.04
8011706,10390632.44
8088537,10416361.43
8267121,10479371.84
8954809,10763882.46
9382339,10974262.99
9861645,11240653.12
9964526,11302039.04
10081565,11373679.97
10564733,11689793.01
11013335,12012631.17
11668544,12534902.81
11897158,12731306.54
11968032,12793683.52
12089673,12902346.63
12416813,13202938.42
12813382,13583768.93
12890845,13660328.44
12997165,13766589.27
13154392,13926265.11
13413049,14195662.8
13952223,14785000.4
14107630,14962069.4
14347137,15241473.56
14743380,15721520.93
14861103,15868520.47
14911149,15931630.75
15055940,16116316.4
15139944,16224907.51
15207012,16312372.24
15600766,16839828.16
15892011,17245649.91
16011179,17415632.93
16306532,17846972.86
16660674,18383441.2
16825667,18640714.14
16889458,18741452.33
16941035,18823423.5
17061013,19015918.19
17179112,19207894.65
17425240,19616047.67
17760707,20190897.77
17831664,20315338.1
17886435,20412066.15
18009550,20631623.62
18101648,20797783.42
18188820,20956556.5
18338349,21232277.97
18876521,22259261.9
19145610,22792623.65
19397681,23303957.73
19764052,24066892.1
19835834,24219063.35
19885267,24324363.09
19955797,24475313.97
20039760,24656099.36
20130337,24852439.1
20208438,25022822.2
20264349,25145410.71
20354336,25343783.3
20714169,26150032.69
20923188,26627749.85
21157037,27170206.02
21298623,27502672.76
21717548,28503771.34
21804660,28715143.74
21864157,28860132.56
21966471,29110636.19
22062825,29349399.51
22124690,29504846
22223266,29755874.23
22318800,30002920.38
22660810,30915174.83
22754595,31172243.81
22848942,31433557.11
22960736,31746484.74
23097832,32134738.13
23180006,32369641.4
23260992,32602627.38
23368836,32914984.14
23762722,34072590.78
23948037,34623986.49
24116908,35128805.28
24267412,35579838.46
24578606,36512905.41
24668606,36782244.01
24713709,36917048.81
24776446,37104324.24
24872858,37391491.85
24917115,37523017.33
25004253,37781351.84
25104900,38078561.54
25172327,38276876.95
25300169,38650896.63
25457767,39111354.37
25660310,39712295.34
25813986,40174931.11
26044551,40878969.06
26179772,41296978.7
26400367,41986229.01
26677085,42862196.55
26756072,43114278.93
26933058,43682005.55
27076445,44144569.8
27214335,44591306.46
27312710,44911014.27
27398056,45188962.82
27649714,46011072.81
27715489,46226424.56
27803961,46516307.18
27962301,47035536.16
28130895,47588594.22
28198052,47808849.57
28306276,48163624.91
28474719,48715123.42
28777511,49702993.48
29128172,50838216.9
29348228,51543923.13
29588614,52307396.92
29661143,52536022.43
29769256,52875188.1
29869174,53187974.5
29910619,53317867.77
29995837,53585226.34
30068645,53813939.5
30158800,54097506.43
30239156,54350582.13
30320152,54605981
30393817,54838525.91
30479068,55107950.4
30782822,56070467.64
31095753,57065927.08
31411347,58073431.48
31602728,58685974.94
31761464,59194857.43
31947314,59791539.28
32050196,60122225.61
32195225,60588806.02
32384813,61199428.03
32544398,61713962.57
32793837,62519072.91
33030527,63283853.3
33319448,64218229.34
33572998,65038736.42
34206956,67090986.61
34554302,68214945.68
34680072,68621695
34787302,68968396.89
34906289,69353302.63
35075419,69900872.52
35242714,70443066.21
35378673,70884141.84
35586340,71558662.61
35957940,72768309
36486129,74494270.96
37119621,76576055.37
37354562,77351757.34
37669175,78393872.07
38089105,79791237.69
38329165,80593563.29
38738127,81966637.15
39458382,84405517.93
39649389,85057025.64
39708113,85257745.96
40051370,86435052.81
40135088,86723261.13
40334697,87412180.04
40502193,87992198.97
41509051,91518207.88
42174039,93886795.21
42599376,95419707.44
43430421,98457874.05
44470123,102345187.3
44858253,103822654.9
45183056,105070125.9
45387998,105861953.8
46016679,108313574.6
47352693,113636684
48401724,117924127.7
49447376,122292013.6
49806997,123815950.2
50166212,125349264.8
50481494,126704188.3
50944667,128710160.6
52696037,136461713.8
54404349,144276108.9
55292259,148436430.7
56622275,154794441.6
57744010,160274325.9
59364649,168381179.8
60043745,171844799.4
60674192,175095474.5
62326817,183777296.4
64462217,195339291.3
65717081,202314336.6
69085307,221696297
69664720,225127246.8
71403060,235590936.3
74674433,255973882
75925077,264004430.6
80465004,286161236.9
91304639,348425492.5
92362247,355860569.1
100335366,414408763.9
111421605,503084622.9
121297036,589112774.1
